,text,topic
0,"WAS it light that spake from the darkness,
or music that shone from the word,
When the night was enkindled with sound
of the sun or the first-born bird?
Souls enthralled and entrammelled in bondage
of seasons that fall and rise,
Bound fast round with the fetters of flesh,
and blinded with light that dies,
Lived not surely till music spake,
and the spirit of life was heard.
Music, sister of sunrise, and herald of life to be,
Smiled as dawn on the spirit of man,
and the thrall was free.
Slave of nature and serf of time,
the bondman of life and death,
Dumb with passionless patience that breathed
but forlorn and reluctant breath,
Heard, beheld, and his soul made answer,
and communed aloud with the sea.
Morning spake, and he heard:
and the passionate silent noon
Kept for him not silence:
and soft from the mounting moon
Fell the sound of her splendour,
heard as dawn's in the breathless night,
Not of men but of birds whose note
bade man's soul quicken and leap to light:
And the song of it spake, and the light and the darkness
of earth were as chords in tune.",music
1,"SINCE first I saw your face I resolved to honour and renown ye;
If now I be disdained I wish my heart had never known ye.
What? I that loved and you that liked, shall we begin to wrangle?
No, no, no, my heart is fast, and cannot disentangle.
If I admire or praise you too much, that fault you may forgive me;
Or if my hands had stray'd but a touch, then justly might you leave
me.
I ask'd you leave, you bade me love; is 't now a time to chide me?
No, no, no, I'll love you still what fortune e'er betide me.
The Sun, whose beams most glorious are, rejecteth no beholder,
And your sweet beauty past compare made my poor eyes the bolder:
Where beauty moves and wit delights and signs of kindness bind me,
There, O there! where'er I go I'll leave my heart behind me!",music
2,"To know the impossible to be impossible
and yet to love the attempt;
to demonstrate that beauty is eternal, yet
seen only in that moment now,
never to be captured, ever changing -
'evanescent' holds a little of the sound of it -
this, the heroic failure that betokens love.
Monet was that hero. For perhaps you may
catch beauty's shadow in a photograph;
even glimpse its joy, there, in the sound of song;
but try to catch it - dab by dab of brush -
when in the time  it takes to do this, yet another leaf
- there, watch it as it drops -
has fallen from that distant orange-yellow-brown
blur of an autumn wood - knowing as you render nature's generality
or catch a church, a haystack, in a sundown glow,
that all things pass -
that love's heroic:  and when, in irony that surely
needs no underlining, blindness comes upon you, yet
you go on painting, as the water-lilies blur
into the water-weed, into the bridge,
into the time that runs down to the river, to the sea...
and in turn, Renoir, in his 'Moulin a la Galette' dance-cafe,
catching the human reflection of this flow, our yearning
for the perfect moment to remain, frozen, set, fresh-baked,
forever caught - this is what my life has led to,
this is what, surely, I deserve - under the lanterns in the trees
the young girls with their cheeks of peaches, apricots,
and lips like fruit that's waiting to be pressed,
dream of forever to be loved; while their tonight's men
smoke, and drink, and dream of where a young man's lust
might just be step into another world -
while in that room up there that looks down on this scene,
Proust, seeing the cafe's dance of fleeting beauty, writes to catch
those moments lived and lost and yet remembered;
and Debussy, his tentative composer's piano notes
heard just above the cafe's resident accordionist
whose sentimental music you too will remember
to your dying day, and smile a gentle tear - and when
past midnight, as the silence falls upon the thinning dance, and
couples, singing, arm-in-arm it home, and
Monsieur le patron extinguishes the lanterns in the trees,
and the humble workers' square is suddenly a nowhere place,
Debussy will hear the moonlight sliding through the window
onto the piano's keys...
of beauty, we can say not much
of all that may be said.
(To Michael Gessner, who reminded me about poetry.)",music
3,"My friend went to the piano; spun the stool
A little higher; left his pipe to cool;
Picked up a fat green volume from the chest;
And propped it open.
Whitely without rest,
His fingers swept the keys that flashed like swords,
. . . And to the brute drums of barbarian hordes,
Roaring and thunderous and weapon-bare,
An army stormed the bastions of the air!
Dreadful with banners, fire to slay and parch,
Marching together as the lightnings march,
And swift as storm-clouds. Brazen helms and cars
Clanged to a fierce resurgence of old wars
Above the screaming horns. In state they passed,
Trampling and splendid on and sought the vast --
Rending the darkness like a leaping knife,
The flame, the noble pageant of our life!
The burning seal that stamps man's high indenture
To vain attempt and most forlorn adventure;
Romance, and purple seas, and toppling towns,
And the wind's valiance crying o'er the downs;
That nerves the silly hand, the feeble brain,
From the loose net of words to deeds again
And to all courage! Perilous and sharp
The last chord shook me as wind shakes a harp!
. . . And my friend swung round on his stool, and from gods we were men,
""How pretty!"" we said; and went on with our talk again.",music
4,"Other loves may sink and settle, other loves may loose and slack,
But I wander like a minstrel with a harp upon my back,
Though the harp be on my bosom, though I finger and I fret,
Still, my hope is all before me; for I cannot play it yet.
In your strings is hid a music that no hand hath e'er let fall,
In your soul is sealed a pleasure that you have not known at all;
Pleasure subtle as your spirit, strange and slender as your frame,
Fiercer than the pain that folds you, softer than your sorrow's name.
Not as mine, my soul's annointed, not as mine the rude and light
Easy mirth of many faces, swaggering pride of song and fight;
Something stranger, something sweeter, something waiting you afar,
Secret as your stricken senses, magic as your sorrows are.
But on this, God's harp supernal, stretched but to be stricken once,
Hoary time is a beginner, Life a bungler, Death a dunce.
But I will not fear to match them - no by God, I will not fear,
I will learn you, I will play you and the stars stand still to hear.",music
5,"Have you heard of Music
That casts a spell,
Enveloping you in its melodious folds?
A rare name, indeed! - Sopänam!
Known only to a few
But unheard and unknown to many
Yet, it exists,
Along the sandy beaches that stretches along
The deep Arabian sea
Amidst the swaying palms
In the wooden carved temples of Kerala,
Sopänam-the soulful music!
The divine melody of Sopanam
Is the song of the steps -
Steps that carry you along the ascending sweet notes,
Steps that cascade down with descending melodies,
Steps that hold you in rapt attention,
Steps that lift your spirit,
Take you on a joyful ride
Into the inner recesses of the mind,
To reflect and meditate
On the ever compassionate Almighty;
A journey most illuminating,
A spiritual sojourn!
As you stand in the temple,
Praying with folded hands,
The ears catch
The strains of the lingering lyrics
Weaving the romantic interludes
Of Radha and Krishna
Their ardent yearning,
Secret meetings,
Sweet murmurings,
Passionate love
Crossing the hurdles of time and tide,
With eternal love!
Hark! Listen to the music
Soft tender notes of Sopanam
Sensitive like the whispering palms
Scented like the sacred basil leaves
Seductive like the white jasmine flowers!
Soothing like the gentle breeze,
Yet, powerful and intense like the Kathakali dancers
Portraying the ancient legends and stories
Of Gods and heroes,
War and peace,
Love and hate, jealousy and revenge,
Dancing through this enriching music!
A melody truly divine,
Inspiring,
Prodding,
To climb the ladder-
The steps of symphony!
The yearning soul,
Desperate to seek
The expression of love,
The aesthetic experience,
The boundless bliss -
Unity of man, music and God,
A spiritual journey truly rewarding!",music
6,"Once played to attentive faces
music has broken its frame
its bodice of always-weak laces
the entirely promiscuous art
pours out in public spaces
accompanying everything, the selections
of sex and war, the rejections.
To jeans-wearers in zipped sporrans
it transmits an ideal body
continuously as theirs age. Warrens
of plastic tiles and mesh throats
dispense this aural money
this sleek accountancy of notes
deep feeling adrift from its feelers
thought that means everything at once
like a shrugging of cream shoulders
like paintings hung on park mesh
sonore doom soneer illy chesh
they lost the off switch in my lifetime
the world reverberates with Muzak
and Prozac. As it doesn't with poe-zac
(I did meet a Miss Universe named Verstak).
Music to me is like days
I rarely catch who composed them
if one's sublime I think God
my life-signs suspend. I nod
it's like both Stilton and cure
from one harpsichord-hum:
penicillium -
then I miss the Köchel number.
I scarcely know whose performance
of a limpid autumn noon is superior
I gather timbre outranks rhumba.
I often can't tell days apart
they are the consumers, not me
in my head collectables decay
I've half-heard every piece of music
the glorious big one with voice
the gleaming instrumental one, so choice
the hypnotic one like weed-smoke at a party
and the muscular one out of farty
cars that goes Whudda Whudda
Whudda like the compound oil heart
of a warrior not of this planet.",music
7,"The house was empty and
the people of the house
gone many months
Months for the weevil
for the patient worm
timbe r-mole softly tunnelling
;for the parliament of rats
Footsteps slink past
damp walls
down
long
& nbsp;     corridors
< br>Slow feet
warily scuff
bare boards
The much-bitten
&nbs p;tapestry
;  holds
&nb sp;     many
&n bsp;    moths
In a certain curtain'd room
the halting steps evade
chai rs white shrouded
To twitch the winding-sheet
&n bsp;around a grand piano
thin phalanx of sound
sharp rat's teeth edge yellow
with decay
The much-bitten
&nbs p;tapestry
;holds
man y
moths
On rat's teeth-edge
;fingers preparate
hesitate
Then falling send
as tenantry
darnp-muffied chords
rus ting strings
a still-born song
Their fortissimo
The tattered
scarce
tapestry
stirs
holds
near
many
cobwebs
moths",music
8,"When through life unblest we rove,
Losing all that made life dear,
Should some notes we used to love,
In days of boyhood, meet our ear,
Oh! how welcome breathes the strain!
Wakening thoughts that long have slept,
Kindling former smiles again
In faded eyes that long have wept.
Like the gale, that sighs along
Beds of oriental flowers,
Is the grateful breath of song,
That once was heard in happier hours.
Fill'd with balm the gale sighs on,
Though the flowers have sunk in death;
So, when pleasure's dream is gone,
Its memory lives in Music's breath.
Music, oh, how faint, how weak,
Language fades before thy spell!
Why should Feeling ever speak,
When thou canst breathe her soul so well?
Friendship's balmy words may feign,
Love's are even more false than they;
Oh! 'tis only music's strain
Can sweetly soothe, and not betray.",music
9,"I
PRELUDE
Daughter of Psyche, pledge of that last night
When, pierced with pain and bitter-sweet delight,
She knew her Love and saw her Lord depart,
Then breathed her wonder and her woe forlorn
Into a single cry, and thou wast born?
Thou flower of rapture and thou fruit of grief;
Invisible enchantress of the heart;
Mistress of charms that bring relief
To sorrow, and to joy impart
A heavenly tone that keeps it undefiled,--
Thou art the child
Of Amor, and by right divine
A throne of love is thine,
Thou flower-folded, golden-girdled, star-crowned Queen,
Whose bridal beauty mortal eyes have never seen!
II
Thou art the Angel of the pool that sleeps,
While peace and joy lie hidden in its deeps,
Waiting thy touch to make the waters roll
In healing murmurs round the weary soul.
Ah, when wilt thou draw near,
Thou messenger of mercy robed in song?
My lonely heart has listened for thee long;
And now I seem to hear
Across the crowded market-place of life,
Thy measured foot-fall, ringing light and clear
Above the unmeaning noises and the unruly strife;
In quiet cadence, sweet and slow,
Serenely pacing to and fro,
Thy far-off steps are magical and dear.
Ah, turn this way, come close and speak to me!
>From this dull bed of languor set my spirit free,
And bid me rise, and let me walk awhile with thee
III
Where wilt thou lead me first?
In what still region
Of thy domain,
Whose provinces are legion,
Wilt thou restore me to myself again,
And quench my heart's long thirst?
I pray thee lay thy golden girdle down,
And put away thy starry crown:
For one dear restful hour
Assume a state more mild.
Clad only in thy blossom-broidered gown
That breathes familiar scent of many a flower,
Take the low path that leads thro' pastures green;
And though thou art a Queen,
Be Rosamund awhile, and in thy bower,
By tranquil love and simple joy beguiled,
Sing to my soul, as mother to her child.
IV
O lead me by the hand,
And let my heart have rest,
And bring me back to childhood land,
To find again the long-lost band
Of playmates blithe and blest.
Some quaint, old-fashioned air,
That all the children knew,
Shall run before us everywhere,
Like a little maid with flying hair,
To guide the merry crew.
Along the garden ways
We chase the light-foot tune,
And in and out the flowery maze,
With eager haste and fond delays,
In pleasant paths of June.
For us the fields are new,
For us the woods are rife
With fairy secrets, deep and true,
And heaven is but a tent of blue
Above the game of life.
The world is far away:
The fever and the fret,
And all that makes the heart grow gray,
Is out of sight and far away,
Dear Music, while I hear thee play
That olden, golden roundelay,
""Remember and forget!""
V
SLEEP SONG
Forget, forget!
The tide of life is turning;
The waves of light ebb slowly down the west:
Along the edge of dark some stars are burning
To guide thy spirit safely to an isle of rest.
A little rocking on the tranquil deep
Of song, to soothe thy yearning,
A little slumber and a little sleep,
And so, forget, forget!
Forget, forget,--
The day was long in pleasure;
Its echoes die away across the hill;
Now let thy heart beat time to their slow measure
That swells, and sinks, and faints, and falls, till all is still.
Then, like a weary child that loves to keep
Locked in its arms some treasure,
Thy soul in calm content shall fall asleep,
And so forget, forget.
Forget, forget,--
And if thou hast been weeping,
Let go the thoughts that bind thee to thy grief:
Lie still, and watch the singing angels, reaping
The golden harvest of thy sorrow, sheaf by sheaf;
Or count thy joys like flocks of snow-white sheep
That one by one come creeping
Into the quiet fold, until thou sleep,
And so forget, forget!
Forget, forget,--
Thou art a child and knowest
So little of thy life! But music tells
One secret of the world thro' which thou goest
To work with morning song, to rest with evening bells:
Life is in tune with harmony so deep
That when the notes are lowest
Thou still canst lay thee down in peace and sleep,
For God will not forget.
VI
HUNTING SONG
Out of the garden of playtime, out of the bower of rest,
Fain would I follow at daytime, music that calls to a quest.
Hark, how the galloping measure
Quickens the pulses of pleasure;
Gaily saluting the morn
With the long clear note of the hunting-horn
Echoing up from the valley,
Over the mountain side,--
Rally, you hunters, rally,
Rally, and ride!
Drink of the magical potion music has mixed with her wine,
Full of the madness of motion, joyful, exultant, divine!
Leave all your troubles behind you,
Ride where they never can find you,
Into the gladness of morn,
With the long, clear note of the hunting-horn,
Swiftly o'er hillock and hollow,
Sweeping along with the wind,--
Follow, you hunters, follow,
Follow and find!
What will you reach with your riding? What is the charm of the chase?
Just the delight and the striding swing of the jubilant pace.
Danger is sweet when you front her,--
In at the death, every hunter!
Now on the breeze the mort is borne
In the long, clear note of the hunting-horn,
Winding merrily, over and over,--
Come, come, come!
Home again, Ranger! home again, Rover!
Turn again, home!
VII
DANCE-MUSIC
Now let the sleep-tune blend with the play-tune,
Weaving the mystical spell of the dance;
Lighten the deep tune, soften the gay tune,
Mingle a tempo that turns in a trance.
Half of it sighing, half of it smiling,
Smoothly it swings, with a triplicate beat;
Calling, replying, yearning, beguiling,
Wooing the heart and bewitching the feet.
Every drop of blood
Rises with the flood,
Rocking on the waves of the strain;
Youth and beauty glide
Turning with the tide--
Music making one out of twain,
Bearing them away, and away, and away,
Like a tone and its terce--
Till the chord dissolves, and the dancers stay,
And reverse.
Violins leading, take up the measure,
Turn with the tune again,--clarinets clear
Answer their pleading,--harps full of pleasure
Sprinkle their silver like light on the mere.
Semiquaver notes,
Merry little motes,
Tangled in the haze
Of the lamp's golden rays,
Quiver everywhere
In the air,
Like a spray,--
Till the fuller stream of the might of the tune,
Gliding like a dream in the light of the moon,
Bears them all away, and away, and away,
Floating in the trance of the dance.
Then begins a measure stately,
Languid, slow, serene;
All the dancers move sedately,
Stepping leisurely and straitly,
With a courtly mien;
Crossing hands and changing places,
Bowing low between,
While the minuet inlaces
Waving arms and woven paces,--
Glittering damaskeen.
Where is she whose form is folden
In its royal sheen?
>From our longing eyes withholden
By her mystic girdle golden,
Beauty sought but never seen,
Music walks the maze, a queen.
VIII
THE SYMPHONY
Music, they do thee wrong who say thine art
Is only to enchant the sense.
For every timid motion of the heart,
And every passion too intense
To bear the chain of the imperfect word,
And every tremulous longing, stirred
By spirit winds that come we know not whence
And go we know not where,
And every inarticulate prayer
Beating about the depths of pain or bliss,
Like some bewildered bird
That seeks its nest but knows not where it is,
And every dream that haunts, with dim delight,
The drowsy hour between the day and night,
The wakeful hour between the night and day,--
Imprisoned, waits for thee,
Impatient, yearns for thee,
The queen who comes to set the captive free
Thou lendest wings to grief to fly away,
And wings to joy to reach a heavenly height;
And every dumb desire that Storms within the breast
Thou leadest forth to sob or sing itself to rest.
All these are thine, and therefore love is thine.
For love is joy and grief,
And trembling doubt, and certain-sure belief,
And fear, and hope, and longing unexpressed,
In pain most human, and in rapture brief
Almost divine.
Love would possess, yet deepens when denied;
And love would give, yet hungers to receive;
Love like a prince his triumph would achieve;
And like a miser in the dark his joys would hide.
Love is most bold:
He leads his dreams like armed men in line;
Yet when the siege is set, and he must speak,
Calling the fortress to resign
Its treasure, valiant love grows weak,
And hardly dares his purpose to unfold.
Less with his faltering lips than with his eyes
He claims the longed-for prize:
Love fain would tell it all, yet leaves the best untold.
But thou shalt speak for love. Yea, thou shalt teach
The mystery of measured tone,
The Pentecostal speech
That every listener heareth as his own.
For on thy head the cloven tongues of fire,--
Diminished chords that quiver with desire,
And major chords that glow with perfect peace,--
Have fallen from above;
And thou canst give release
In music to the burdened heart of love.
Sound with the 'cellos' pleading, passionate strain
The yearning theme, and let the flute reply
In placid melody, while violins complain,
And sob, and sigh,
With muted string;
Then let the oboe half-reluctant sing
Of bliss that trembles on the verge of pain,
While 'cellos plead and plead again,
With throbbing notes delayed, that would impart
To every urgent tone the beating of the heart.
So runs the andante, making plain
The hopes and fears of love without a word.
Then comes the adagio, with a yielding theme
Through which the violas flow soft as in a dream,
While horns and mild bassoons are heard
In tender tune, that seems to float
Like an enchanted boat
Upon the downward-gliding stream,
Toward the allegro's wide, bright sea
Of dancing, glittering, blending tone,
Where every instrument is sounding free,
And harps like wedding-chimes are rung, and trumpets blown
Around the barque of love
That sweeps, with smiling skies above,
A royal galley, many-oared,
Into the happy harbour of the perfect chord.
IX
IRIS
Light to the eye and Music to the ear,--
These are the builders of the bridge that springs
>From earths's dim shore of half-remembered things
To reach the spirit's home, the heavenly sphere
Where nothing silent is and nothing dark.
So when I see the rainbow's arc
Spanning the showery sky, far-off I hear
Music, and every colour sings:
And while the symphony builds up its round
Full sweep of architectural harmony
Above the tide of Time, far, far away I see
A bow of colour in the bow of sound.
Red as the dawn the trumpet rings,
Imperial purple from the trombone flows,
The mellow horn melts into evening rose.
Blue as the sky, the choir of strings
Darkens in double-bass to ocean's hue,
Rises in violins to noon-tide's blue,
With threads of quivering light shot through and through.
Green as the mantle that the summer flings
Around the world, the pastoral reeds in time
Embroider melodies of May and June.
Yellow as gold,
Yea, thrice-refined gold,
And purer than the treasures of the mine,
Floods of the human voice divine
Along the arch in choral song are rolled.
So bends the bow complete:
And radiant rapture flows
Across the bridge, so full, so strong, so sweet,
That the uplifted spirit hardly knows
Whether the Music-Light that glows
Within the arch of tones and colours seven
Is sunset-peace of earth, or sunrise-joy of Heaven.
X
SEA AND SHORE
Music, I yield to thee;
As swimmer to the sea
I give my Spirit to the flood of song:
Bear me upon thy breast
In rapture and at rest,
Bathe me in pure delight and make me strong;
From strife and struggle bring release,
And draw the waves of passion into tides of peace.
Remember'd songs, most dear,
In living songs I hear,
While blending voices gently swing and sway
In melodies of love,
Whose mighty currents move,
With singing near and singing far away;
Sweet in the glow of morning light,
And sweeter still across the starlit gulf of night.
Music, in thee we float,
And lose the lonely note
Of self in thy celestial-ordered strain,
Until at last we find
The life to love resigned
In harmony of joy restored again;
And songs that cheered our mortal days
Break on the coast of light in endless hymns of praise.",music
10,"Footsteps in the dark marching on the hearts
Of the stark winter terrain that was the family’s farm
Food shortage in the barn malnutrition starts to harm
No cream or proteins to stabilize their cells
Stomachs start to swell more than legends people tell
Frozen water in the well dehydration hits the lips
Rags clinging on to hips like rock climbers cling to cliffs
Brain damage then eclipse and then the focus shifts
The root cause of this strife fell down on these misfits
Because the regime that once deemed
Itself as for the people
Attained diplomatic status and a team
As secret as it was lethal
Predicated and dedicated to rooting out all foes
And enemies of state or anyone opposed
To their lavish lifestyles and constant talks of heroes
Zero tolerance for arguments on national policy
Broken promises the basis of this all-perfect polity
Sloppily take and take from the general public
Including any relatives who might have disrupted
Any luscious dinners with their cries of injustice
Crush peaceful marchers with tanks and sniper archers
Shoot into the crowd at anything moving around
In books and newspapers they write a different caption
Business as usual like the whole thing never happened",animal
11,"Like the easily startled deer,
A horse is prone to fear.
Millennia of being prey,
Has built an instinct to run away.
I'm sure you can understand,
That courage and fear go hand in hand.
In 2011, Tonk the stallion,
Was worthy of a medallion.
He ignored the call to flight,
And chose to stay and fight,
When a 700 pound grizzly bear,
Appeared out of thin air,
And chased an 8 year old boy,
His father's pride and joy.
Tonk's rider was Erin Bolster,
She had no weapon or holster.
Her last name means 'to support',
But you never would have thought,
She'd look the bear in the eye,
And let out a valiant cry,
""I'll not stand by,
And watch this boy die! ""
Now Tonk was 18 hands in height,
An angel dressed in white.
He chose to stay and fight,
When other horses took flight.
Three times this brave pair,
Charged headlong at the bear,
Staring into his fearsome face,
Until at last he left the place.
Afterwards Tonk could not stop shaking,
He'd been so close to breaking.
Those scary looking jaws,
And mighty sharp claws,
Had made him so upset,
His coat was drenched with sweat.
So the bravest animal I know,
Is similar to a nervous doe,
It's a white Percheron draft horse,
Called Tonk of course!
David Letterman let the world know,
When our heroes appeared on his show.
This gentle giant made so many smile,
And forget their worries for quite a while.",animal
12,"Man, and animal
Confused, can't take a side
-like forward in football
-who shoots but is offside.
I have lived a long life
-have had, seen animals
-hugged, fed them as my dolls
-and for them have cried…
But also ate the meat
-of chicken, lambs, llamas
-as well as fish and cows.
My clothes from wool
-of skin have worn shoes.
How can I ever judge?
How can I be the right?
But questions I can have:
- ""What should be relations
-with them as one and all? ""
The Natives caught one and
-shared it; were satisfied.
Came Europe with the gun
-destroyed the wildlife
-said: ""We are civilized! ""
Others were savages! ! !
Now butchers, restaurants
-kill in mass, make kebab
-from pig, lamb, and cows
-but praise the pet dogs
-as was once, horse to ride.
Don't trust the mankind
-mostly if civilized…
- ""He is most brutal! """,animal
13,"There lived a girl called Lovina,
Whose animal-love was great;
Tall, she was and so much lean, ah!
She sang songs for a treat.
She had a sister, with whom she fought,
Right from her child-hood days!
Both were aged, a year’s diff’rence;
And so they fight-her mother says.
She did her home-work, in a short time,
Dreamt while her mother cooks!
In argument, she was so good,
And loved to read animal-books.
Once there fell down, a small Squirrel,
As she stood ‘neath a Mango-tree;
She laid it gently in a box,
The Squirrel-babe was no more free!
She fed the Squirrel, fruit and nut,
And lullabied it to a sleep;
The baby Squirrel loved her much,
Their friendship grew so deep.
She sang to it and fondled it,
And talked to it whenever free;
She kept it cosy, neat and clean;
Her holidays, went off in glee!
One day, the Squirrel fell so ill;
Perhaps, it thought of its mother!
So, you must set the Squirrel free;
Her doctor-uncle advised her.
With Squirrel ill, her heart  turned sad,
Poor Lovina, could not sleep well;
For long, she kept awake and cried;
Was the Squirrel ill ‘cause it fell?
The poor girl prayed, all night and day;
She prayed to God to make it well;
And wished, she could become a fay!
Her life now seemed to look like hell!
She kissed her Squirrel, one more time;
Her Uncle let it up a tree;
The Squirrel squeaked and wagged its tail;
And jumped with joy, away, afree!
Lovina too now wept with joy;
Her pet-Squirrel seemed quite alright!
Her heart leapt like the Squirrel, Boy!
Her Uncle’s words were quite correct.
But Lovina missed her Squirrel;
She visited the Mango-tree;
She hopes to meet her pet some day,
Her friend, never turned up to see!
Ye love your God through animals!
Ye love thy sister first, then else;
Man hath a soul, animals don’t,
“Love thy neighbour, ”the Poet tells!
specially dedicated to my neice Rubina, an animal-lover herself, a true incident in her life!",animal
